Iterations,Stories,Points,Done,Added,Dropped,,
4,,,#iteration,#iteration,#iteration,,Forecast
,A club manager is able to create their own RallyTime club for desired athlete.,2,2,,,,
,A club manager is able to invite specifc supporters to join club via a custom link.,2,1,,,,
,Members are able to see which RallyTime clubs they are currently a part of via dashboard.,1,2,,,,
,Members of the club are able to send postive or sympathetic messages to the ahtlete in a group-chat format.,3,2,,,,
,Only the club manager is able to permanently remove and/or add specifc members.,2,1,,,,
,Members of the club are able to send direct messages to individuals in the club (including the ahtlete).,5,1,,,,
,Members of the club are able to make groupchats within the club.,5,2,,,,
,A member of the club has the option to send emojis to the athlete.,3,,,,,
,"Members can ""like"" individual messages.",3,3,,,,
,Athletes and managers can send email notifications about upcoming events to all members of the club.,5,,,,,
,Members see a confirmation page/an official invite to accept when they are asked to join a club.,2,,,,,
,Everyone in a fan club can view all the members.,1,1,,,,
,Athletes and managers can create events.,3,,,,,
,Members can leave fanclubs.,1,,,,,
,Members can update/edit their own profile pages.,3,,,,,
,Members can sign in/logout.,1,,,,,
,Members encounter a character limit whenever they craft a message.,2,,,,,